"Progress","cons","ID","atten","perspective","cost.benefit","study","gratitude","vignette","indebtedness","guilt","anger","shame","repayment"
"100","1","5c4fa169ee5ae100010a2057","I am paying attention","borrower","benefit","1a","low",1,"low","low","low","low","high"
"100","1","643600c7306e9c1f4a7fb1f5","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","6118db4c1a46f468a792b912","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","high","high"
"100","1","586372cae16d530001b345b8","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","64d50beffeab8e801e7df616","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","61036c39549abd4fa911d139","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","63bf745cc01669a110ec48ba","I am paying attention.","borrower","benefit","1a","high",1,"high","high","high","high","high"
"100","1","5dc483cf74939e34e55c3619","I am paying attention","borrower","benefit","1a","high",1,"low","low","low","low","high"
"100","1","55e5d5fdc70c7a000b2a5bac","I am paying attention","borrower","benefit","1a","high",1,"low","low","low","low","low"
"100","1","5f16f559325a640008bb9a07","I am paying attention","borrower","benefit","1a","high",1,"high","low","high","low","high"
"100","1","60a7c4434b322876925afaa3","I am paying attention","borrower","benefit","1a","high",1,"high","high","low","low","high"
"100","1","63614899ad49a91f1ef09067","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5c8ef3c2d7ecab0018d528da","I am paying attention","borrower","benefit","1a","high",1,"low","low","low","low","low"
"100","1","5cbe04b4f429ff00159de30e","I am paying attention","borrower","benefit","1a","high",1,"low","low","low","low","high"
"100","1","5ec00f62cf12be40ea6fe344","I am paying attention","borrower","benefit","1a","high",1,"low","low","low","low","low"
"100","1","5d7a90912fb68c001b06a218","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","59e7d3f97f3d71000171def0","I am paying attention","borrower","benefit","1a","high",2,"high","low","high","low","low"
"100","1","6325b8a7fcafb1208f542e93","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","615bb35e52d50aa9a2ae6747","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","628794619215a22e47b640bd","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5fac037f8861fb0f18c0b24d","I am paying attention","borrower","benefit","1a","high",2,"high","low","high","low","high"
"100","1","63d569384ae2cf6d4dce7c32","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5b2489070ec82d0001d1dbb2","I am paying attention","borrower","benefit","1a","high",2,"low","low","low","low","low"
"100","1","641359b5040c453203e2c088","I am paying attention","borrower","benefit","1a","low",2,"high","low","high","low","high"
"100","1","63a3a7777f64f5e056a3dd79","I am paying attention ","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","63d3fec908b40217bbd48993","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5e9f3f09ccc75a0c345e4845","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5bf9bd81549c180001dab194","I am paying attention","borrower","benefit","1a","high",2,"low","low","low","low","low"
"100","1","6112c911a83cc494df38b468","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","64014c946836cff56fc1a22f","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","6282575ebe32fdc6268babc8","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","63f0e61bbeb61d5ced623832","I am paying attention","borrower","benefit","1a","high",2,"low","low","low","low","low"
"100","1","61507c30291069d83501fdad","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5cf5c14bada72300156a4521","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","627286792f25495f123cc27b","I am paying attention","borrower","benefit","1a","high",2,"high","low","high","low","high"
"100","1","64069f0b2609091b2ec18bd4","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","63d4393f67ae4bf53fce7c48","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","5d338bb02381b7001761694e","I am paying attention","borrower","benefit","1a","high",2,"low","low","low","low","high"
"100","1","63bd8c8f03965fcab1bbb917","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","615c5d5d1768e12bba80f289","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","611465b0cdf9e7bb34a05898","I am paying attention","borrower","benefit","1a","high",2,"low","low","low","low","high"
"100","1","5d6349209b22da000117b1bd","I am paying attention","borrower","benefit","1a","high",2,"high","high","high","low","high"
"100","1","5ab3fc4b5f01000001cb07e2","I am paying attention","borrower","benefit","1a","high",2,"high","low","high","low","high"
"100","1","5eb5a7321cf74d4601b8df1e","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5c27e76978fad500019328cc","I am paying attention","borrower","benefit","1a","high",2,"low","low","low","low","low"
"100","1","5f0c7ea47cf1495f4587f741","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","62926b2bba027005e0a84475","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","643ebfff661435ecda5a3580","I am paying attention.","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","558fff05fdf99b3f7aada357","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5dda993086c886a06ce9108d","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5eea479c14742d0ad3e11468","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","6234866ad5f13fac2a5cf725","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","62e0532289a4e5d9fedadde1","I am paying attention","borrower","benefit","1a","high",2,"high","high","low","low","high"
"100","1","6109dbf2714f8d7abc2fec1d","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","570b7b5fb9b52b00102d96f9","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","5ef4d8b87faaa00c0dea0c4e","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","62cd9b920ed1b7c1648818d3","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","6266db0dcf3e4f16fb9d7c56","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5d849ee0a954540019f513dd","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","62c63362e7342ad8be294866","I am paying attention","borrower","benefit","1a","high",2,"low","low","low","low","low"
"100","1","55fb250177f33b000ccb212f","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","615ddab1e4f013092538b6c5","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","64601d5bf3f4d849a794097c","I am  paying attention","borrower","benefit","1a","low",2,"high","low","high","low","low"
"100","1","63f7837e2f09cd534ebfd193","I am paying attention","borrower","benefit","1a","high",2,"high","low","high","low","high"
"100","1","5b5a822e1ad8270001c4f28d","I am paying attention","borrower","benefit","1a","high",2,"low","low","high","high","high"
"100","1","5ecc6ffce3ca77849333e83e","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","628e4f0118e498792b2ee35e","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5c4fa169ee5ae100010a2057","I am paying attention","borrower","benefit","1a","high",2,"low","low","high","high","high"
"100","1","643600c7306e9c1f4a7fb1f5","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","6118db4c1a46f468a792b912","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","586372cae16d530001b345b8","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","64d50beffeab8e801e7df616","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","61036c39549abd4fa911d139","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","63bf745cc01669a110ec48ba","I am paying attention.","borrower","benefit","1a","high",2,"high","high","high","high","high"
"100","1","5dc483cf74939e34e55c3619","I am paying attention","borrower","benefit","1a","high",2,"low","low","low","low","high"
"100","1","55e5d5fdc70c7a000b2a5bac","I am paying attention","borrower","benefit","1a","high",2,"low","low","low","low","low"
"100","1","5f16f559325a640008bb9a07","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","60a7c4434b322876925afaa3","I am paying attention","borrower","benefit","1a","high",2,"low","low","low","low","high"
"100","1","63614899ad49a91f1ef09067","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5c8ef3c2d7ecab0018d528da","I am paying attention","borrower","benefit","1a","high",2,"low","low","low","low","low"
"100","1","5cbe04b4f429ff00159de30e","I am paying attention","borrower","benefit","1a","high",2,"low","low","low","low","high"
"100","1","5ec00f62cf12be40ea6fe344","I am paying attention","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","5d7a90912fb68c001b06a218","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","59e7d3f97f3d71000171def0","I am paying attention","borrower","benefit","1a","high",3,"high","low","high","low","low"
"100","1","6325b8a7fcafb1208f542e93","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","615bb35e52d50aa9a2ae6747","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","628794619215a22e47b640bd","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","5fac037f8861fb0f18c0b24d","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","63d569384ae2cf6d4dce7c32","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","5b2489070ec82d0001d1dbb2","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","low"
"100","1","641359b5040c453203e2c088","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","high","low"
"100","1","63a3a7777f64f5e056a3dd79","I am paying attention ","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","63d3fec908b40217bbd48993","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","5e9f3f09ccc75a0c345e4845","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","5bf9bd81549c180001dab194","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","low"
"100","1","6112c911a83cc494df38b468","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","64014c946836cff56fc1a22f","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","low"
"100","1","6282575ebe32fdc6268babc8","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","high"
"100","1","63f0e61bbeb61d5ced623832","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","low"
"100","1","61507c30291069d83501fdad","I am paying attention","borrower","benefit","1a","low",3,"low","low","low","low","low"
"100","1","5cf5c14bada72300156a4521","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","627286792f25495f123cc27b","I am paying attention","borrower","benefit","1a","high",3,"high","low","high","low","high"
"100","1","64069f0b2609091b2ec18bd4","I am paying attention","borrower","benefit","1a","low",3,"high","high","low","low","high"
"100","1","63d4393f67ae4bf53fce7c48","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","5d338bb02381b7001761694e","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","high"
"100","1","63bd8c8f03965fcab1bbb917","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","615c5d5d1768e12bba80f289","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","611465b0cdf9e7bb34a05898","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","high"
"100","1","5d6349209b22da000117b1bd","I am paying attention","borrower","benefit","1a","high",3,"high","low","high","high","high"
"100","1","5ab3fc4b5f01000001cb07e2","I am paying attention","borrower","benefit","1a","high",3,"high","low","high","low","high"
"100","1","5eb5a7321cf74d4601b8df1e","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","5c27e76978fad500019328cc","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","low"
"100","1","5f0c7ea47cf1495f4587f741","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","62926b2bba027005e0a84475","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","643ebfff661435ecda5a3580","I am paying attention.","borrower","benefit","1a","high",3,"low","low","low","low","low"
"100","1","558fff05fdf99b3f7aada357","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","5dda993086c886a06ce9108d","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","5eea479c14742d0ad3e11468","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","6234866ad5f13fac2a5cf725","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","62e0532289a4e5d9fedadde1","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","6109dbf2714f8d7abc2fec1d","I am paying attention","borrower","benefit","1a","low",3,"high","low","low","low","high"
"100","1","570b7b5fb9b52b00102d96f9","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","5ef4d8b87faaa00c0dea0c4e","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","62cd9b920ed1b7c1648818d3","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","6266db0dcf3e4f16fb9d7c56","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","5d849ee0a954540019f513dd","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","62c63362e7342ad8be294866","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","low"
"100","1","55fb250177f33b000ccb212f","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","615ddab1e4f013092538b6c5","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","64601d5bf3f4d849a794097c","I am  paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","63f7837e2f09cd534ebfd193","I am paying attention","borrower","benefit","1a","high",3,"high","low","high","low","high"
"100","1","5b5a822e1ad8270001c4f28d","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","high"
"100","1","5ecc6ffce3ca77849333e83e","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","628e4f0118e498792b2ee35e","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","5c4fa169ee5ae100010a2057","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","high"
"100","1","643600c7306e9c1f4a7fb1f5","I am paying attention","borrower","benefit","1a","high",3,"high","high","low","low","high"
"100","1","6118db4c1a46f468a792b912","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","586372cae16d530001b345b8","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","64d50beffeab8e801e7df616","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","61036c39549abd4fa911d139","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","63bf745cc01669a110ec48ba","I am paying attention.","borrower","benefit","1a","high",3,"high","high","high","high","high"
"100","1","5dc483cf74939e34e55c3619","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","high"
"100","1","55e5d5fdc70c7a000b2a5bac","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","low"
"100","1","5f16f559325a640008bb9a07","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","60a7c4434b322876925afaa3","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","high"
"100","1","63614899ad49a91f1ef09067","I am paying attention","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","5c8ef3c2d7ecab0018d528da","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","low"
"100","1","5cbe04b4f429ff00159de30e","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","high"
"100","1","5ec00f62cf12be40ea6fe344","I am paying attention","borrower","benefit","1a","high",3,"low","low","low","low","low"
"100","1","5f2a12f5837dd81e5881b7cc","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","64d5323f567c88a7df95b47a","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5c830a66d6a4d0000164097d","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5ce9c6df6b2b3d001a94b24f","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","6303890203f45abc8089f6d3","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","6414da4319877aa1e31c301b","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5f63d462fb4c4713b69d4bb7","I am paying attention","borrower","cost","1b","low",1,"low","high","high","high","high"
"100","1","62fe6312269d0e4ae894297b","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","58ed2be2a083320001a13783","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","606e4eb2a56685e5593304cd","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","62865960812a0a8c397f9b28","I am paying attention","borrower","cost","1b","low",1,"high","high","high","high","high"
"100","1","63c0e1b1ee5ca75f61e3b2e1","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","615dbec57d764bf5ab0a56e5","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5ca8ffbec942ab0016cfe9d2","I am paying attention","borrower","cost","1b","high",1,"high","high","low","high","high"
"100","1","62f13dc95cf68f5d1182f495","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","592621a771d4fe00012ce948","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5dfd077e3690bd03bfa91d48","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","56e32190e414dc000c8b40ae","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5fba9d0b11db76aa38bdc72c","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","low"
"100","1","62d43bf9cb693bf6980c5ea9","I am paying attention","borrower","cost","1b","low",1,"high","high","high","high","high"
"100","1","5ed586e76d5ca91174686894","I am paying attention","borrower","cost","1b","low",1,"high","high","high","high","high"
"100","1","614dd304ed948bbfe8c22215","I am paying attention","borrower","cost","1b","low",1,"high","high","high","high","high"
"100","1","60b788ecd24b27bb39298936","I am paying attention ","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5c28d3540091e40001ca581e","I am paying attention","borrower","cost","1b","low",1,"high","high","high","high","high"
"100","1","63d1e114550c261e5d78a941","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5e872f5b3a32c337ba65aa68","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5d74001d391b6600175f433b","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","609a5974625e18ab158c9a3e","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","63fa2f029381a13d9f2a36a8","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5d083644613fce001b2a1001","I am paying attention","borrower","cost","1b","low",1,"high","high","high","high","low"
"100","1","6369700320bc7dd22e733009","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5cd6c1197b871a0001b13589","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5ed2bb7a67d51b24b2ac4037","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5f095db6fc8e5a1e2271dc47","I am paying attention","borrower","cost","1b","low",1,"high","high","low","low","low"
"100","1","61202a222a23700ed108b394","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","6234a7fc493d026318784c23","I am paying attention","borrower","cost","1b","low",1,"low","high","high","low","high"
"100","1","610c56ddc029efbacb229c71","I am paying attention ","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5dcf4136cf8e7e086ea019e4","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5ba259603bf2350001a54284","I am paying attention","borrower","cost","1b","low",1,"high","high","high","high","high"
"100","1","56f2a5e0ed0cf6000691320b","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","6114b416d9c506518392523e","I am paying attention ","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5d1e5ece2e9ac30016b522c5","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","56b2cb399b487500052098c1","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","6400f8f41e203f131c68b79f","I am paying attention","borrower","cost","1b","low",1,"high","high","high","high","high"
"100","1","54847f1cfdf99b07b28f22f9","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5b97f70161c19e00018db4a8","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","63403b47287756c1978d2985","I am paying attention","borrower","cost","1b","low",1,"low","high","low","high","high"
"100","1","5bd4c1d09afb5b00015c5bdd","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5d83c1e911cb3a0001570ea4","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","626976d0dfd20d6832fc92aa","I am paying attention","borrower","cost","1b","high",1,"high","high","high","high","high"
