ID,atten,gratitude,guilt,indebtedness,choice,vignette,order
577d11f88b3e2300016d74a0,I am paying attention,Somewhat John,Somewhat John,Much John,John (no conditions),3,A
61095301a0d717717f93af56,I am paying attention,Somewhat John,Much John,Somewhat John,Peter (conditions),1,B
616692ab8e0f48050d43ef74,I am paying attention,Much John,Much John,Much John,John (no conditions),1,A
5cba1f1910241a0018a0662a,I am paying attention,Much John,Somewhat John,Much John,John (no conditions),1,A
5dd3648c10420036f4141f18,I am paying attention,Somewhat John,Much John,Somewhat John,Peter (conditions),2,B
5ee93810c5c13215484b8336,I am paying attention,Much John,Somewhat John,Much Peter,John (no conditions),2,A
5be49b6b01b0c8000191aa49,I am paying attention,Somewhat John,Much John,Somewhat John,Peter (conditions),3,B
5e821582c17c6e04dc59cba6,I am paying attention,Much John,Somewhat John,Much John,John (no conditions),1,B
5f6a545fdca6c40ffe5fd6fa,I am paying attention,Much John,Somewhat Peter,Much Peter,John (no conditions),3,A
6047bf701c1c650561e69a57,I am paying attention,Much John,Somewhat John,Somewhat John,John (no conditions),3,B
597761dfd5ddf60001d14b20,I am paying attention,Much John,Much John,Much John,John (no conditions),3,A
5cf6231511ba980001e3aa3d,I am paying attention,Much John,Somewhat John,Somewhat John,John (no conditions),2,A
615351cf254ed1f941d06e61,I am paying attention,Somewhat John,Much John,Somewhat John,John (no conditions),1,B
60fdad967ecac4abedf90f94,I am paying attention,Much John,Much John,Much Peter,Peter (conditions),2,B
56888951d7848e000c39a122,I am paying attention ,Much John,Much John,Much John,Peter (conditions),1,B
6109a6e65fed731dcaecb1f1,I am paying attention,Much John,Much John,Much John,Peter (conditions),2,B
5a502ce176d1c60001aa973d,I am paying attention,Much Peter,Much John,Much John,Peter (conditions),1,A
5fa941f4897b8d0670476392,I am paying attention,Much John,Somewhat John,Somewhat John,John (no conditions),2,A
5b66ce776f0d0400010d678d,I am paying attention,Much John,Somewhat John,Much John,John (no conditions),3,A
61115b41f830b1e539d612bf,I am paying attention,Somewhat John,Somewhat John,Much John,John (no conditions),3,B
57ac740478a38d00017cce22,I am paying attention,Somewhat John,Somewhat Peter,Somewhat Peter,Peter (conditions),1,B
5ea96c3da01cad04cfea50b6,I am paying attention ,Much John,Somewhat John,Somewhat John,John (no conditions),3,B
60fdc61377ff9d1dec33f4fc,I am paying attention,Much John,Much John,Much John,Peter (conditions),2,A
60fdf7ccd0817db1d1efba8c,i am paying attention,Somewhat Peter,Somewhat John,Somewhat John,Peter (conditions),3,A
5e9f55237c0db50bb0a02621,I am paying attention,Somewhat John,Much John,Somewhat John,Peter (conditions),2,B
613f8fd190ddd9eaf4a229f7,I am paying attention,Much John,Much John,Much John,John (no conditions),3,B
5ff0038ecd5d98eb8083a651,I am paying attention,Much John,Somewhat John,Much John,Peter (conditions),1,A
5e58376293597e044d5af47a,I am paying attention.,Somewhat John,Somewhat John,Somewhat Peter,John (no conditions),3,A
6111607bb32912a04ea3d9eb,I am paying attention,Somewhat John,Somewhat John,Somewhat John,John (no conditions),1,B
5eaa6c1f07b9e32024695917,I am paying attention,Somewhat John,Much John,Much John,Peter (conditions),2,A
5dd0c9af2b033b185c90d5f0,I am paying attention,Somewhat John,Somewhat John,Somewhat John,Peter (conditions),2,B
61150de0e152358a9a938f17,I am paying attention,Much John,Somewhat Peter,Much Peter,John (no conditions),3,B
5de7d67e253a5a017b1833e4,I am paying attention,Somewhat John,Somewhat John,Somewhat John,Peter (conditions),1,A
58c1d1fb8a3f870001c0e34c,I am paying attention,Somewhat John,Much John,Much John,Peter (conditions),1,B
5f42eec40c24ac531d4ca24a,I am paying attention,Somewhat John,Much John,Somewhat John,Peter (conditions),2,B
5e06748cdeea2b0515e037b9,I am paying attention,Much John,Somewhat John,Somewhat John,Peter (conditions),2,A
5e5b48b9576f69347e4fcc88,I am paying attention,Somewhat John,Much John,Much John,Peter (conditions),1,A
5686e598369319000b268e63,I am paying attention,Much John,Somewhat John,Somewhat John,John (no conditions),3,A
5bbeb9e16322c500015ae44c,I am paying attention,Much John,Somewhat John,Much John,John (no conditions),1,A
5ef76d873a9f1847b94514df,I am paying attention,Much Peter,Much John,Much John,Peter (conditions),2,B
60ff65ab803028f20f9e42a3,I am paying attention,Much John,Somewhat John,Much John,John (no conditions),3,A
6048f641440edbbcbc90f6bc,I am paying attention,Somewhat John,Much John,Much John,Peter (conditions),1,B
5ee6bc17c9f457441d15c330,I am paying attention,Much John,Much John,Much John,Peter (conditions),2,A
5f677fd8d7573036f051fe04,I am paying attention,Much John,Somewhat John,Much John,John (no conditions),1,B
5aef15c7da09e4000153a3a3,I am paying attention,Much John,Somewhat Peter,Much John,John (no conditions),3,B
595d516e2da9c90001d7d200,I am paying attention,Somewhat Peter,Somewhat John,Somewhat John,Peter (conditions),1,A
6166587899ecb8510945b094,I am paying attention,Much John,Much John,Much John,John (no conditions),2,B
610819070f272e33ed379acd,I am paying attention,Much John,Somewhat John,Much John,John (no conditions),3,A
597666af68264c0001c48d64,I am paying attention,Somewhat John,Somewhat Peter,Much Peter,John (no conditions),2,A
610052fdb00d48e8cd442eb4,I am paying attention,Much John,Much John,Much John,John (no conditions),3,B
60cf324cd9255bdafd44ef07,I am paying attention,Much John,Somewhat John,Much John,John (no conditions),2,A
5de1986c040f531f97eb6092,I am paying attention,Much John,Somewhat John,Much Peter,John (no conditions),1,B
5c583efcab6f0c0001b88e36,I am paying attention,Much John,Somewhat John,Much John,John (no conditions),2,B
57a761c22fc0d400012c9656,I am paying attention,Much John,Somewhat John,Somewhat John,John (no conditions),3,B
5ee150a384b8a1164fef6273,I am paying attention,Much John,Somewhat John,Somewhat John,Peter (conditions),1,A
5de2e9b21fd58131ca8c9c72,i am paying attention,Somewhat John,Much John,Much Peter,John (no conditions),1,B
60b788ecd24b27bb39298936,I am paying attention,Much John,Somewhat John,Somewhat John,John (no conditions),3,B
5b564680ed90280001510d9a,I am paying attention,Somewhat John,Somewhat John,Somewhat John,Peter (conditions),1,A
605e7128df8c4c15687386b4,I am paying attention,Somewhat John,Somewhat John,Much John,John (no conditions),2,B
5e9b7b3f568faa0828ea4c09,I am paying attention,Much John,Much John,Much John,Peter (conditions),2,A
5be723d67514d000010863f9,I am paying attention ,Much John,Somewhat John,Somewhat Peter,John (no conditions),3,A
5d7e7207461e51001c5c236c,I am paying attention,Much John,Much John,Much Peter,Peter (conditions),2,A
5e7548f451bddb0aceb07d3f,I am paying attention,Somewhat John,Somewhat Peter,Somewhat Peter,Peter (conditions),3,A
6100fa7db4e4d5781cc5d185,I am paying attention ,Somewhat John,Somewhat John,Somewhat John,Peter (conditions),2,B
5dd74005794e106ec44df770,I am paying attention,Somewhat John,Somewhat Peter,Somewhat Peter,John (no conditions),3,B
5ee28390402f7d77594514df,I am paying attention,Somewhat John,Somewhat John,Somewhat Peter,John (no conditions),1,A
5eda86226763346ac679ca5f,I am paying attention ,Somewhat Peter,Much John,Much John,Peter (conditions),2,B
5e801ffa2b3c3870ecdf7865,I am paying attention,Much John,Much John,Much John,Peter (conditions),1,B
5bf465a2f35e0c00010178af,I am paying attention ,Much John,Somewhat Peter,Somewhat John,John (no conditions),2,A
5b101f7830d562000155a139,I am paying attention,Much John,Somewhat John,Somewhat Peter,John (no conditions),3,A
5de7fc0a75ce6e80152f80cf,I am paying attention,Much John,Somewhat John,Much Peter,John (no conditions),1,B
5f9b58e0c568de202e7db34f,I am paying attention,Somewhat John,Somewhat Peter,Somewhat Peter,John (no conditions),3,B
5ecf32f2079f9d353b698b50,I am paying attention,Somewhat John,Somewhat John,Somewhat John,Peter (conditions),1,A
6036e1282a1b33bfae3176f1,I am paying attention,Much John,Somewhat John,Much John,John (no conditions),1,B
5f490d10022f3f2e8f33cc9a,I am paying attention,Much John,Much John,Much John,Peter (conditions),3,A
56d62dc6ebdf10000667411e,I am paying attention,Much John,Somewhat John,Much John,John (no conditions),1,A
