"Progress","cons","ID","atten","LC.3A","perspective","cost.benefit","study","gratitude","vignette","indebtedness","guilt","anger","shame","repayment"
"100","1","659c059f8a0f0657f0306bb4","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","5b9eddfed259900001106b05","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5be8dab5d153f500019ab320","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","65206f1c8fdb45b55ae8ae4c","I am playing attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","656f385c6028ee0f0159b7be","I am paying attention","","borrower","benefit","1a","high",1,"high","low","high","low","low"
"100","1","62c08fa6cab36e3a08790b49","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","655fb852a8a7baeab8f10f35","I am paying attention","","borrower","benefit","1a","high",1,"high","low","high","low","low"
"100","1","654d94ff353be3595a4d7dfb","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","63e64959bf1cb4617fa269e5","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","63d141f0a7b0e7ea9526e89d","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","6555776099f743902858ed4b","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","60ff9cd547748ee90eea62fc","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","63dc7c4191d5e30193f1db36","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","60fdc73e9fc2f113dc1ff96d","I am paying attention","","borrower","benefit","1a","high",1,"low","low","low","low","low"
"100","1","5ee11eb5636ea94d3ad43e3b","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","63bc74dfdfe8174bfde2579a","I am paying attention","","borrower","benefit","1a","high",1,"low","low","low","low","high"
"100","1","5f712c16875f0375275c57d5","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","651970d4fc43205064c88fa3","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","6154973c69da7c97996a19f6","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5fc3d41149c0c8728f07b95b","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","65a007f925c57b5873d500f7","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","57aa96584cda6e0001842142","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","656130263399ad94b5b84fd2","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","65cb6c93a2b5419209db3f1f","I am paying attention","","borrower","benefit","1a","high",1,"high","high","low","high","high"
"100","1","659774438d7a9d142ec61a26","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","63dac3039dddeaa909a790fb","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","65be6d4f8371681a1f91c27a","I am paying attention","","borrower","benefit","1a","high",1,"low","low","high","low","high"
"100","1","58a1fe40ea3d11000170d9b9","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","65bbdbd7bc3559a97b37263d","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","5ddd2a4459b1b0c7509c7a47","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","63d432e27555fb4b5785cfcd","i am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","57e7bb4e73e67300012b8e2a","I am paying attention","","borrower","benefit","1a","high",1,"low","low","low","low","low"
"100","1","579937134d107800016dd569","I am paying attention","","borrower","benefit","1a","high",1,"high","low","high","low","high"
"100","1","637d6669aa19ab882ddd48d7","I am paying attention","","borrower","benefit","1a","high",1,"low","high","low","high","high"
"100","1","6558cd0f33298201276c2c79","I am paying attention ","","borrower","benefit","1a","high",1,"low","low","low","high","high"
"100","1","65be47a58371681a1f91ba0d","I am paying attention","","borrower","benefit","1a","low",1,"low","high","high","high","low"
"100","1","628f7ed6b17795e8b70cc336","I am paying attention","","borrower","benefit","1a","low",1,"low","high","high","high","low"
"100","1","62d43cee3d60ac98c1dcacc8","I am paying attention","","borrower","benefit","1a","low",1,"high","high","high","high","low"
"100","1","58d069219dbe3f0001258793","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","657225294a07111371064f91","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5d8a64630ffb9c001746ca2c","I am paying attention","","borrower","benefit","1a","high",1,"high","high","low","high","high"
"100","1","628e0063fa56e316da2a71cb","I am paying attention","","borrower","benefit","1a","high",1,"low","low","low","low","low"
"100","1","60079f45348bb62bdcd363ff","I am paying attention","","borrower","benefit","1a","high",1,"low","low","low","low","high"
"100","1","62734ce38db73cd5bd81a36f","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","652007fa978b25ab5673c7e4","I am paying attention","","borrower","benefit","1a","high",1,"low","low","low","low","low"
"100","1","58adfc6e7cf56d0001f931a2","I am paying attention","","borrower","benefit","1a","high",1,"high","high","low","low","low"
"100","1","605bc8caf9e0b0f799baf6da","I am paying attention'","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","63f82a4ff43ec144ca3622a8","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5ba3e0889ac9510001bf1c00","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","61117e8d9c4878fdd4551e02","I am paying attention ","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","559c3e07fdf99b32b55f2d8d","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","63c5cc58cfe69ba17880c392","I am paying attention","","borrower","benefit","1a","high",2,"low","low","low","low","low"
"100","1","5e28f70500bb310cf3934256","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5db4f0b63e33f2000dd54016","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","629534afc0924e49e1464589","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","610f5cd874c399fb78a9f826","i am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5e307edef5abed05e1736185","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5c661b3eb1b0080001bfb2c4","I am paying attention ","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","62a0b34cbcc5987a8fa73c39","I am paying attention","","borrower","benefit","1a","high",2,"high","low","high","low","high"
"100","1","6563507a7389aac2354b8a31","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","65957b97896708cd25109c8b","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","5c3a865019ceb400010c914a","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","65c38e1d588d5d2f11474b3c","i am paying attention","","borrower","benefit","1a","high",2,"low","low","low","low","low"
"100","1","5c78b032419dcc0014119082","I am paying attention","","borrower","benefit","1a","low",2,"high","high","high","low","high"
"100","1","5f4df2b4bdb2449bd751ce51","I am paying attention","","borrower","benefit","1a","low",2,"high","high","high","low","low"
"100","1","63841b0a77166c22d8b325f5","I am paying attention","","borrower","benefit","1a","high",2,"low","low","low","low","high"
"100","1","62a89318448a8592fc88ee03","I am paying attention","","borrower","benefit","1a","high",2,"high","high","high","high","high"
"100","1","659c059f8a0f0657f0306bb4","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","5b9eddfed259900001106b05","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5be8dab5d153f500019ab320","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","65206f1c8fdb45b55ae8ae4c","I am playing attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","656f385c6028ee0f0159b7be","I am paying attention","","borrower","benefit","1a","high",2,"high","low","high","low","low"
"100","1","62c08fa6cab36e3a08790b49","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","655fb852a8a7baeab8f10f35","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","654d94ff353be3595a4d7dfb","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","63e64959bf1cb4617fa269e5","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","63d141f0a7b0e7ea9526e89d","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","6555776099f743902858ed4b","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","60ff9cd547748ee90eea62fc","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","63dc7c4191d5e30193f1db36","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","high","high"
"100","1","60fdc73e9fc2f113dc1ff96d","I am paying attention","","borrower","benefit","1a","high",2,"low","low","low","low","low"
"100","1","5ee11eb5636ea94d3ad43e3b","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","63bc74dfdfe8174bfde2579a","I am paying attention","","borrower","benefit","1a","high",2,"low","low","low","low","high"
"100","1","5f712c16875f0375275c57d5","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","651970d4fc43205064c88fa3","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","6154973c69da7c97996a19f6","I am paying attention","","borrower","benefit","1a","high",2,"high","high","low","low","high"
"100","1","5fc3d41149c0c8728f07b95b","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","65a007f925c57b5873d500f7","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","57aa96584cda6e0001842142","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","high","low"
"100","1","656130263399ad94b5b84fd2","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","65cb6c93a2b5419209db3f1f","I am paying attention","","borrower","benefit","1a","high",2,"low","low","low","high","high"
"100","1","659774438d7a9d142ec61a26","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","63dac3039dddeaa909a790fb","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","65be6d4f8371681a1f91c27a","I am paying attention","","borrower","benefit","1a","high",2,"low","low","low","low","high"
"100","1","58a1fe40ea3d11000170d9b9","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","65bbdbd7bc3559a97b37263d","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","5ddd2a4459b1b0c7509c7a47","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","63d432e27555fb4b5785cfcd","i am paying attention","","borrower","benefit","1a","high",2,"high","low","low","high","high"
"100","1","57e7bb4e73e67300012b8e2a","I am paying attention","","borrower","benefit","1a","high",2,"low","low","low","low","low"
"100","1","579937134d107800016dd569","I am paying attention","","borrower","benefit","1a","high",2,"high","low","high","high","high"
"100","1","637d6669aa19ab882ddd48d7","I am paying attention","","borrower","benefit","1a","high",2,"low","high","high","low","high"
"100","1","6558cd0f33298201276c2c79","I am paying attention ","","borrower","benefit","1a","high",2,"low","low","low","low","high"
"100","1","65be47a58371681a1f91ba0d","I am paying attention","","borrower","benefit","1a","low",2,"high","high","high","high","high"
"100","1","628f7ed6b17795e8b70cc336","I am paying attention","","borrower","benefit","1a","low",2,"low","high","low","low","low"
"100","1","62d43cee3d60ac98c1dcacc8","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","58d069219dbe3f0001258793","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","657225294a07111371064f91","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5d8a64630ffb9c001746ca2c","I am paying attention","","borrower","benefit","1a","high",2,"high","high","low","low","high"
"100","1","628e0063fa56e316da2a71cb","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","60079f45348bb62bdcd363ff","I am paying attention","","borrower","benefit","1a","high",2,"low","low","low","low","high"
"100","1","62734ce38db73cd5bd81a36f","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","652007fa978b25ab5673c7e4","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","58adfc6e7cf56d0001f931a2","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","low"
"100","1","605bc8caf9e0b0f799baf6da","I am paying attention'","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","63f82a4ff43ec144ca3622a8","I am paying attention","","borrower","benefit","1a","high",2,"high","low","low","low","high"
"100","1","5ba3e0889ac9510001bf1c00","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","61117e8d9c4878fdd4551e02","I am paying attention ","","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","559c3e07fdf99b32b55f2d8d","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","63c5cc58cfe69ba17880c392","I am paying attention","","borrower","benefit","1a","high",3,"low","low","low","low","low"
"100","1","5e28f70500bb310cf3934256","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","5db4f0b63e33f2000dd54016","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","629534afc0924e49e1464589","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","610f5cd874c399fb78a9f826","i am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","5e307edef5abed05e1736185","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","5c661b3eb1b0080001bfb2c4","I am paying attention ","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","62a0b34cbcc5987a8fa73c39","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","6563507a7389aac2354b8a31","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","65957b97896708cd25109c8b","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","5c3a865019ceb400010c914a","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","65c38e1d588d5d2f11474b3c","i am paying attention","","borrower","benefit","1a","high",3,"low","low","high","low","low"
"100","1","5c78b032419dcc0014119082","I am paying attention","","borrower","benefit","1a","high",3,"low","low","low","high","low"
"100","1","5f4df2b4bdb2449bd751ce51","I am paying attention","","borrower","benefit","1a","high",3,"low","high","low","high","high"
"100","1","63841b0a77166c22d8b325f5","I am paying attention","","borrower","benefit","1a","high",3,"low","low","low","low","high"
"100","1","62a89318448a8592fc88ee03","I am paying attention","","borrower","benefit","1a","high",3,"high","high","high","high","high"
"100","1","659c059f8a0f0657f0306bb4","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","5b9eddfed259900001106b05","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","5be8dab5d153f500019ab320","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","65206f1c8fdb45b55ae8ae4c","I am playing attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","656f385c6028ee0f0159b7be","I am paying attention","","borrower","benefit","1a","high",3,"high","low","high","low","low"
"100","1","62c08fa6cab36e3a08790b49","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","655fb852a8a7baeab8f10f35","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","654d94ff353be3595a4d7dfb","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","63e64959bf1cb4617fa269e5","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","63d141f0a7b0e7ea9526e89d","I am paying attention","","borrower","benefit","1a","high",3,"low","low","low","low","high"
"100","1","6555776099f743902858ed4b","I am paying attention","","borrower","benefit","1a","high",3,"low","low","low","low","low"
"100","1","60ff9cd547748ee90eea62fc","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","63dc7c4191d5e30193f1db36","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","60fdc73e9fc2f113dc1ff96d","I am paying attention","","borrower","benefit","1a","high",3,"low","low","low","low","low"
"100","1","5ee11eb5636ea94d3ad43e3b","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","63bc74dfdfe8174bfde2579a","I am paying attention","","borrower","benefit","1a","high",3,"low","low","low","low","high"
"100","1","5f712c16875f0375275c57d5","I am paying attention","","borrower","benefit","1a","high",3,"low","low","low","low","low"
"100","1","651970d4fc43205064c88fa3","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","6154973c69da7c97996a19f6","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","5fc3d41149c0c8728f07b95b","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","65a007f925c57b5873d500f7","I am paying attention","","borrower","benefit","1a","high",3,"low","low","low","low","high"
"100","1","57aa96584cda6e0001842142","I am paying attention","","borrower","benefit","1a","high",3,"low","high","low","low","low"
"100","1","656130263399ad94b5b84fd2","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","65cb6c93a2b5419209db3f1f","I am paying attention","","borrower","benefit","1a","high",3,"low","high","low","low","high"
"100","1","659774438d7a9d142ec61a26","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","63dac3039dddeaa909a790fb","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","65be6d4f8371681a1f91c27a","I am paying attention","","borrower","benefit","1a","high",3,"low","low","high","low","high"
"100","1","58a1fe40ea3d11000170d9b9","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","65bbdbd7bc3559a97b37263d","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","5ddd2a4459b1b0c7509c7a47","I am paying attention","","borrower","benefit","1a","high",3,"high","high","low","low","high"
"100","1","63d432e27555fb4b5785cfcd","i am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","57e7bb4e73e67300012b8e2a","I am paying attention","","borrower","benefit","1a","high",3,"low","low","low","low","low"
"100","1","579937134d107800016dd569","I am paying attention","","borrower","benefit","1a","high",3,"high","low","high","low","high"
"100","1","637d6669aa19ab882ddd48d7","I am paying attention","","borrower","benefit","1a","high",3,"low","high","high","low","low"
"100","1","6558cd0f33298201276c2c79","I am paying attention ","","borrower","benefit","1a","high",3,"high","low","low","high","high"
"100","1","65be47a58371681a1f91ba0d","I am paying attention","","borrower","benefit","1a","high",3,"high","high","high","high","high"
"100","1","628f7ed6b17795e8b70cc336","I am paying attention","","borrower","benefit","1a","high",3,"low","low","high","low","high"
"100","1","62d43cee3d60ac98c1dcacc8","I am paying attention","","borrower","benefit","1a","high",3,"low","high","low","high","high"
"100","1","58d069219dbe3f0001258793","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","657225294a07111371064f91","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","5d8a64630ffb9c001746ca2c","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","high","high"
"100","1","628e0063fa56e316da2a71cb","I am paying attention","","borrower","benefit","1a","high",3,"low","low","low","low","high"
"100","1","60079f45348bb62bdcd363ff","I am paying attention","","borrower","benefit","1a","high",3,"low","low","low","low","high"
"100","1","62734ce38db73cd5bd81a36f","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","652007fa978b25ab5673c7e4","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","low"
"100","1","58adfc6e7cf56d0001f931a2","I am paying attention","","borrower","benefit","1a","high",3,"low","low","low","low","low"
"100","1","605bc8caf9e0b0f799baf6da","I am paying attention'","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","63f82a4ff43ec144ca3622a8","I am paying attention","","borrower","benefit","1a","high",3,"high","low","low","low","high"
"100","1","56157e827ffc8a0005812ae9","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5f5e32a0d6a12c6857b8e127","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5fff0eb8fa9eac64dfee12f0","I am paying attention","","borrower","cost","1b","low",1,"high","high","high","high","high"
"100","1","56cc78e3ccc0e20006b82a7d","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","6073e0d481953bbd2cd61145","I am paying attention","","borrower","cost","1b","low",1,"low","high","low","high","high"
"100","1","6336f536de1823600ebda2f4","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","63852498bcb698988baa11c2","I am paying attention","","borrower","cost","1b","low",1,"high","high","high","high","low"
"100","1","655f91be380061ec28e9f091","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5df97cf6deea2b70989b6528","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","65b26bbe1d5dfa901eeb87c3","I am paying attention","","borrower","cost","1b","high",1,"high","high","low","high","high"
"100","1","56b43607c54e3c000d3c9b0b","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","646619d0918746fb726da63e","I am paying attention","","borrower","cost","1b","low",1,"high","high","high","high","high"
"100","1","62b9c2f1e55fe9f17dfedc5d","I am paying attention","","borrower","cost","1b","low",1,"low","low","low","low","high"
"100","1","5cb67a7ab73e8a001507fae5","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","63fedbfe6ef7fb3dd2718f5c","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","65444bbc48998c14318caf9f","I am paying attention","","borrower","cost","1b","high",1,"high","high","low","high","high"
"100","1","58509fbda6946500016117ed","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","65c17f809c893363dae6bc4a","I am paying attention","","borrower","cost","1b","low",1,"high","high","high","high","high"
"100","1","5865bdf7a3462300010673e3","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5e14d563c4e155ae93907ae1","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5fbb062e91513797e214827d","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5db48b4d14dab8000de45fdf","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5de117f5b63ed716fefd2d9a","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","659d552d45f1c24e49cf6b06","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","6238b95932e705108020765a","I am paying attention","","borrower","cost","1b","low",1,"low","high","high","low","low"
"100","1","62e1ac27961f3e729c0cf5fd","I am paying attention","","borrower","cost","1b","low",1,"high","high","high","high","high"
"100","1","5c109ce457fd11000127f3de","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","656615b432984a1b0ea3273f","I am paying attention","","borrower","cost","1b","low",1,"high","high","high","high","high"
"100","1","6518353efd6c167905451597","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5dbf11701429823ba384bd3c","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5eb554661e18cd06f1f78022","I am paying attention","","borrower","cost","1b","low",1,"high","high","high","high","high"
"100","1","5a07a6af002e1800019d6aab","I am paying attention","","borrower","cost","1b","high",1,"high","high","low","high","high"
"100","1","655fc066df406c5bd0a94a51","I am paying attention","","borrower","cost","1b","low",1,"high","high","high","high","high"
"100","1","6597f78690b467bafd1a0a67","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","63d8352e4565d58f6e88cf09","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","63d2cb67dfc2a799bbd30c69","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","658717ac903b420541943753","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","6571d0584d8a97d31c68c8a5","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5dceca2541afe801a32e27ac","I am paying attention","","borrower","cost","1b","high",1,"high","high","low","high","high"
"100","1","63c657d8e7734108a9b52587","I am paying attention","","borrower","cost","1b","high",1,"low","low","low","high","high"
"100","1","640b735104dec27f0afa4f12","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","561d98e03d7fe8000b0f5e09","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","642b6547b732b663d7180d06","I am paying attention","","borrower","cost","1b","high",1,"high","high","high","high","high"
"100","1","5f48e3d7f998433ac6356ad4","I am paying attention","","borrower","cost","1b","high",1,"high","low","high","high","high"
"100","1","5fb9eb323531776e460fe5e0","I am paying attention","","borrower","cost","1b","high",1,"high","high","low","high","high"
