"ID","Gratitude","Guilt1","Guilt2","Indebtedness","Cond","Gratitude.T1","Guilt1.T1","Guilt2.T1","Indebtedness.T1"
"5f1f899fbfbf3a1a7a81803f",3,3,3,3,"High",7,7,7,7
"6112bbfc31fd696f44f0bd2c",-1,2,3,1,"Low",6,2,7,3
"5cf7df5a8e098100184cbf43",2,-1,1,1,"High",5,2,5,3
"612d392b4ed3130794cc1eeb",3,2,3,3,"Low",7,6,6,7
"6105e3052a817fed72c0a7e0",1,1,2,1,"High",5,5,6,5
"5e28556d0a328c022e11f058",2,2,2,1,"Low",6,6,7,6
"57309f6b30a556000fecdd47",2,-1,3,2,"Low",5,1,5,5
"5b5b6c11f5bc590001177815",2,-3,3,2,"Low",6,3,1,6
"6150ea0af545fdfbb4b6e25f",3,-1,2,0,"High",7,3,5,4
"5f91fcd0d41fea101c469878",3,-2,0,2,"High",6,6,7,6
"5f4058ed68b88419526e0c9c",0,3,3,3,"Low",6,3,7,5
"60f1b59d5e90dbffe5dcc97d",0,1,2,0,"Low",6,3,7,4
"6111d9d0a60630fd46b3c7c9",0,0,0,0,"Low",5,5,6,4
"615169b7895fb4f2e865a3e3",1,-1,0,0,"High",7,4,5,4
"5f47d4feb90d14217bceb6e9",2,1,2,1,"High",4,5,6,5
"5fdbc08c51617702db63e681",3,-3,3,0,"High",7,1,7,7
"60fdc94052605ef932c32723",3,1,3,2,"High",7,7,7,7
"5f8dc8e88567d612282c6d1d",0,0,0,0,"Low",6,2,6,3
"5c297a144479410001515282",3,2,3,2,"High",7,6,7,6
"5e81d1533a915c8c348bd782",0,0,0,0,"Low",7,4,7,4
"5f19fa3d079f730c9e57e290",0,1,3,2,"Low",6,2,6,5
"61422ddf29bfe1c002aa21b1",2,-1,0,1,"High",6,5,7,4
"5dcf483be4f4a008d50f0123",0,1,2,0,"Low",5,3,5,4
"61077417fe1c076e53fc95c7",0,0,0,0,"Low",7,4,7,3
"5af0bd948170ac0001e64b99",3,0,3,2,"High",6,5,7,7
"60784b6bd338b4177ab61f75",1,0,0,0,"High",6,6,7,3
"5e70bf61017e070009a8a738",3,0,2,2,"High",7,5,6,6
"611884342da45986deaa204f",0,1,1,0,"Low",5,3,6,3
"61075e286d1c4e7d96950cec",0,1,3,2,"Low",6,5,6,7
"5f218f86a3a5b05784d9d371",0,0,0,0,"High",6,4,6,4
"6110c8e6c4f88bac43ca4818",3,3,3,3,"High",6,5,6,6
"5589d3dafdf99b18be3204b7",0,0,0,0,"Low",4,4,5,4
"5fce9b44f324541237eb9259",2,0,2,0,"High",7,5,7,6
"59ea4e1116ecc200016ff81e",3,0,0,2,"Low",7,4,3,3
"60fdcae3bc5bb609e9abdea2",0,2,3,2,"Low",6,5,7,5
"6111308dc631d4011ef43a73",-1,2,3,2,"Low",6,5,7,5
"60fccee96a80584be76a928c",0,0,1,0,"Low",6,6,7,5
"6150c121d880e0e4a582a701",0,0,0,0,"High",5,6,6,5
"6107f56512e90cfc0f63d57c",1,-1,0,0,"High",6,4,5,5
"5ca9e89dcb4af3001440da22",2,0,2,2,"High",6,3,5,5
"5d6c5cca8cb0f70001b1fac5",2,3,2,2,"Low",7,6,7,7
"5f32b358c70f5001e1225ba2",-2,2,1,1,"Low",6,7,7,6
"5ed377271691ea000c548cb0",2,-1,3,1,"High",5,2,6,5
"5da4e196e93f3600179efac0",2,1,2,0,"Low",5,2,7,3
"5cfe79d535026c001a0d829c",3,3,3,3,"Low",7,7,7,7
"60de7eec1ede3b8bb835cd32",1,0,0,1,"High",5,5,6,4
"6036b797b572bfc7b694e5d2",2,0,0,1,"High",6,7,7,6
"60ff0a118b84533b35f9ae51",0,2,3,1,"Low",6,7,7,5
"61085decb97f2001f7ceb8ad",0,2,2,0,"Low",5,5,7,4
"5cdf5b458c6f07001abd4571",1,0,0,0,"High",6,6,7,6
"60fd96e93965e6eb9e783c02",2,3,2,1,"Low",6,6,5,5
"5dcfb0ffcc19200baabf0e8a",1,-2,2,1,"High",5,1,6,3
"5b197b8088ee7400012ae154",2,2,2,2,"Low",7,3,7,6
"5ba961b460f3d500016a2970",0,-1,1,0,"High",5,4,6,4
"5d82e954e5013200011e6c27",0,1,3,0,"Low",7,3,7,5
"603865be3a28f324ab9fed42",2,2,2,2,"High",6,6,7,6
"616434abfb0de3e7ddc73443",0,3,3,3,"Low",6,5,6,5
"6111f586fe99b25bb899861a",0,0,2,1,"High",6,7,7,4
"5750a40d6c3d370007d1a373",3,0,3,3,"High",7,7,7,7
"60fed37f8321c18534a69e5f",0,-1,1,1,"Low",6,5,7,6
"613b929f8155fb976005ac18",3,2,3,2,"Low",6,4,6,6
"5610c4ea7ffc8a0005811504",0,-3,0,0,"Low",5,4,5,5
"5781c15381f331000139a89e",3,3,3,3,"High",7,7,7,7
"5bc3f805f70e2e000121f9b0",2,-1,0,0,"High",5,4,6,4
"60febc3709bbcde110d4634a",1,3,0,0,"Low",5,5,6,2
"5f3d6ca05772161108bc0e2e",3,1,3,2,"High",7,4,7,5
"5f9470fc5f7ebd2a762c51bc",3,-1,0,2,"High",6,7,7,5
"6108110bbc83dfd97cb5c223",2,2,3,3,"Low",6,5,7,5
"611288117ef267d6c4fceb9a",3,1,3,3,"High",7,6,7,6
"613a5516db14b5b3e3729c8f",3,0,0,0,"Low",6,3,6,2
"5aeaa0d7f00c7f00018f7315",1,-1,0,0,"High",6,5,6,4
"5bc0c37d93ca500001adca49",1,-1,3,1,"High",4,3,4,5
"5ac5207ee1546900019c0279",1,-1,0,1,"High",4,5,7,5
"5f4fb5c0ad48ba0ab9a454e5",1,0,0,0,"High",5,5,7,6
"5e6ac797374f5b08b8f13ade",2,-1,3,1,"High",4,4,7,4
"610f7244c65ae4e57858a700",0,1,1,0,"Low",6,3,6,3
"60b83dab388448ab036dcf8d",0,3,3,3,"Low",6,6,6,6
"565bbc1ec121fe0012fc3782",2,1,3,2,"Low",6,3,6,6
"601c170bd8db9368fc2d996b",0,1,2,0,"Low",7,6,7,7
"61115686fa7f267dae6767fc",2,2,2,2,"Low",7,6,7,5
"5dd71e92b966de6d215924b0",3,1,2,1,"High",7,6,7,5
"5aa4c7794eecca0001dde769",3,2,3,3,"Low",6,4,7,5
"607897a566b792397d974201",0,0,0,0,"High",6,6,7,7
"61029b5dadd1e9cf8ee002ab",3,0,0,0,"High",6,6,6,6
"568c67547374ad000cc7448c",0,2,3,1,"Low",5,4,6,4
"6171bbd074b630c87f2ab0f3",-3,3,3,3,"Low",7,6,7,6
"5cf9daa3d66e12001c2613a4",0,2,3,2,"Low",6,7,7,5
"5f8d90ab46603e08b12c0c95",2,2,3,1,"Low",5,6,7,5
"5fff4ca576c47805527d9512",3,-3,3,3,"High",6,2,6,5
"614e96b60c5e8fa053d707f9",2,1,2,2,"High",5,5,6,6
"5e772838f7b5de2892c7ddf3",3,1,3,2,"High",6,5,7,4
"6022b900dcd41704c3c8f3f7",3,3,3,3,"Low",6,6,7,5
"5da0d9012a275000127cf814",0,3,3,3,"Low",6,5,7,7
"5bf3a3d421b91000019e26c9",0,1,0,-1,"Low",5,2,5,3
"6155db00c1ddd261574dce05",2,1,3,2,"High",6,5,7,5
"5d168a41d9ef120017ab26b0",0,0,0,0,"High",7,2,7,5
"5ef6a216cf5fa438db69c355",1,-2,3,3,"Low",6,5,7,5
"60fdd59c0bf3c63079c26391",2,-2,2,2,"High",5,1,5,5
"5dd3581abca2e436d1c171cb",1,-2,2,2,"High",4,3,6,5
"5dbcab257d3d3625a70a80b1",3,1,3,1,"Low",5,3,7,3
"5e32cbad3db17e2868d1f41e",3,-2,-1,3,"High",5,6,6,5
"5748077a5e5491000e3bf711",3,-3,0,0,"High",6,2,7,4
"602681b70b044831439fce1a",3,-3,0,0,"High",5,2,7,5
"5ee264fd75927e71d7a6bd5c",2,3,3,2,"Low",7,5,7,5
"60a572b74e77a2e7272386ea",2,-1,0,1,"Low",5,3,6,5
"5c8b30af1a9e6500010eabfb",1,0,0,0,"High",6,3,6,5
"5c7f2dc436ad0a00110bb122",0,0,0,0,"Low",5,1,5,5
"614f0ff6e7ebe684d2697c60",3,3,3,3,"Low",5,6,7,7
"5e90b7d2dc69fd3de27660f3",3,0,3,1,"High",7,4,5,4
"5e89fdffad009e010e958ee7",3,0,0,0,"Low",6,1,6,6
"5f2aba03e8652834d6577992",1,3,3,3,"Low",5,4,6,6
"605a402969ba7da87e38c6a9",0,0,0,0,"Low",3,2,5,5
"5ff14df78929f059f0bb894b",0,0,0,0,"Low",5,4,7,6
"611e91d3417faebad3101d08",0,2,3,0,"Low",5,5,6,5
"5af2d425347a4a000177a00c",2,1,2,2,"High",6,5,6,6
"5fedbca4fd62fbfeac20c702",0,0,0,0,"High",4,3,7,3
"5af529ca222e4d0001878444",2,0,1,1,"High",6,5,5,2
"5fb7c9683359973a5ebb4076",1,0,3,0,"Low",5,3,6,3
"5e8a26247ad7526bf85abbff",3,-2,3,3,"High",6,7,7,7
"614be4652a9f5f910a441cfc",1,0,1,1,"High",5,4,5,4
"5ddd99500f8d51d1ce9fd780",2,3,3,2,"Low",6,5,6,4
"5ec56e3d696044548ade21cd",0,2,2,0,"Low",5,3,3,3
"5cd9121cb3ea230001f84104",1,0,1,1,"High",4,2,4,4
"55c68d2bfdf99b67b7b50a91",-1,-1,0,0,"High",7,3,6,4
"5b9ec956c8a17f000171f7ad",2,3,3,1,"Low",5,5,7,6
"614de1a1230ecf23e2758d7d",3,0,0,0,"High",5,6,7,6
"5bb34283c5888d000149402f",1,-1,1,1,"High",6,5,4,4
"613a0cc3bb0bfaa8ebcc4275",0,1,3,0,"Low",5,3,6,5
"5f4fe40c4af6f3120ff17532",3,3,3,3,"High",7,5,7,7
"5fdf97876903be00083bc361",0,0,0,0,"Low",6,6,7,5
"60d8aeaa2b64cb81ede60f67",0,1,3,1,"Low",7,3,7,7
"5f0df5a03845a80dfb809e2f",0,3,3,0,"Low",6,4,6,4
"5a01e188ab721b0001ef7134",3,-1,0,0,"High",7,5,7,7
"5e30d68e4de4510d34b66da6",0,2,3,2,"Low",6,5,7,5
"60faac0921fe42c2b5e31716",0,0,0,0,"High",5,5,6,5
"58ab2db50da7f10001de8e34",2,2,3,2,"High",6,7,7,5
"5858b2ca83a02d0001e38fd2",2,-1,1,0,"High",6,3,6,4
"5ddd675deb3973cbee9e415c",-1,1,-1,-1,"High",5,3,4,5
"5e1588c0ecb3eab8ba1f1aec",-3,-3,-3,-3,"High",1,1,1,1
"5f04cc96ebb486133d5df0a4",-1,1,2,-1,"Low",6,5,7,6
"61150ec9ff89021c26dcd061",0,0,0,0,"High",5,5,6,5
"5fdd0d72398b8b377701485f",3,0,2,2,"High",7,4,7,4
"616f2dc24df7a8664076ceab",3,1,1,3,"Low",6,7,6,6
"5ef110ef74978d1e943f0e7a",0,0,0,0,"Low",5,5,7,6
"615567110b3d6e418c6add32",0,0,-1,0,"Low",4,4,5,3
"5c05f6e5d30e3200016e1ed5",3,3,3,1,"Low",7,5,7,6
"615e0f0c1ce04323aec71577",2,-1,3,3,"High",5,2,7,5
"6155082249f909145945f249",0,1,2,-1,"Low",3,5,6,4
"5c33ccf9377d960001044af0",3,-3,-3,3,"High",7,1,7,7
"5e861e493b574022c7f4814d",0,3,3,0,"Low",6,6,7,7
"5ec1c41a1f98090e8c119332",3,2,3,2,"High",7,5,7,6
"5b75d448be28580001b5a603",1,0,2,2,"High",5,5,6,5
"5cffd1ad484b5b0017924e4d",3,-1,3,1,"High",5,5,6,5
"5fa47206439f3f0f2be27a1a",2,0,3,2,"Low",6,2,7,5
"5e8a0ba9a9f5aa03e8c8370f",1,0,0,1,"High",6,5,7,6
"61352943d715ba19eef1cc85",0,0,0,0,"Low",6,3,7,5
"5de7c6d448241d73d36ceaef",3,-3,3,3,"High",7,6,7,6
"60886aa78a924587989be1c7",0,-1,2,0,"Low",6,3,5,3
"5ce83f6ffdd26c00193b9611",0,0,0,0,"Low",5,3,6,3
"60db300929b8f7755b4efd4f",2,1,2,2,"Low",6,4,6,6
"5cfecc1e96681500168a1799",3,-1,2,3,"High",7,6,7,4
